table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
TAAT_1min,finalQFSciRvw,"Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA
TAAT_1min,tempAve0QM,"Quality metric that summarizes when the averaging flag was set to 0 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve1QM,"Quality metric that summarizes when the averaging flag was set to 1 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve2QM,"Quality metric that summarizes when the averaging flag was set to 2 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve3QM,"Quality metric that summarizes when the averaging flag was set to 3 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve4QM,"Quality metric that summarizes when the averaging flag was set to 4 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve5QM,"Quality metric that summarizes when the averaging flag was set to 5 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve6QM,"Quality metric that summarizes when the averaging flag was set to 6 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,tempAve7QM,"Quality metric that summarizes when the averaging flag was set to 7 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_1min,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,NA
TAAT_1min,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,NA
TAAT_30min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,NA
TAAT_30min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,NA
TAAT_30min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
TAAT_30min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
TAAT_30min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
TAAT_30min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
TAAT_30min,tempTripleMean,Arithmetic mean of triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_30min,tempTripleMinimum,Minimum triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_30min,tempTripleMaximum,Maximum triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_30min,tempTripleVariance,Variance in triple aspirated air temperature,real,celsiusSquared,basic,*.####(round),NA,NA
TAAT_30min,tempTripleNumPts,Number of points used to calculate the arithmetic mean of triple aspirated air temperature,real,number,basic,*.####(round),NA,NA
TAAT_30min,tempTripleExpUncert,Expanded uncertainty for triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_30min,tempTripleStdErMean,Standard error of the mean for triple aspirated air temperature,real,celsius,basic,*.####(round),NA,NA
TAAT_30min,rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,rangePassQM,"Quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,rangeNAQM,"Quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,persistenceNAQM,"Quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,stepFailQM,"Quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,stepPassQM,"Quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,stepNAQM,"Quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,nullFailQM,"Quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,nullPassQM,"Quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,nullNAQM,"Quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,gapNAQM,"Quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,spikeNAQM,"Quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,flowFailQM,"Quality metric that summarizes the failed outcomes of the flow rate test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,flowPassQM,"Quality metric that summarizes the passed outcomes of the flow rate test over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,flowNAQM,"Quality metric that summarizes when the flow rate test could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,heaterFailQM,"Quality metric that summarizes when the heater was on over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,heaterPassQM,"Quality metric that summarizes when the heater was off over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,heaterNAQM,"Quality metric that summarizes when the heater status was unknown over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,validCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,validCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,validCalNAQM,"Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,alphaQM,"Quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,betaQM,"Quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,finalQF,"Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA
TAAT_30min,finalQFSciRvw,"Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA
TAAT_30min,tempAve0QM,"Quality metric that summarizes when the averaging flag was set to 0 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve1QM,"Quality metric that summarizes when the averaging flag was set to 1 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve2QM,"Quality metric that summarizes when the averaging flag was set to 2 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve3QM,"Quality metric that summarizes when the averaging flag was set to 3 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve4QM,"Quality metric that summarizes when the averaging flag was set to 4 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve5QM,"Quality metric that summarizes when the averaging flag was set to 5 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve6QM,"Quality metric that summarizes when the averaging flag was set to 6 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,tempAve7QM,"Quality metric that summarizes when the averaging flag was set to 7 over the averaging period, as a percent and detailed in NEON.DOC.000654",real,percent,expanded,*.####(round),NA,NA
TAAT_30min,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,NA
TAAT_30min,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,NA
