siteID,testResult,testPathogenName,taxonID,startCollectDate,endCollectDate
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:14:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:14:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:33:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:21:00Z,2016-05-26T11:54:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T20:42:00Z,2016-05-26T11:14:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T20:42:00Z,2016-05-26T11:14:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T20:42:00Z,2016-05-26T11:14:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-05-24T21:31:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-05-24T21:31:00Z,2016-05-26T11:33:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-05-24T21:31:00Z,2016-05-26T11:33:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T10:04:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T10:04:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T10:04:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T20:32:00Z,2016-06-09T11:16:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T21:04:00Z,2016-06-09T10:04:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T21:04:00Z,2016-06-09T10:04:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T21:04:00Z,2016-06-09T10:04:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T21:04:00Z,2016-06-09T10:04:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T21:04:00Z,2016-06-09T10:04:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T21:04:00Z,2016-06-09T10:04:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-07T21:11:00Z,2016-06-08T21:26:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-07T21:11:00Z,2016-06-08T21:26:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-07T21:11:00Z,2016-06-08T21:26:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:32:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:53:00Z,2016-06-23T10:36:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:53:00Z,2016-06-23T10:36:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:53:00Z,2016-06-23T10:36:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T20:53:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T20:53:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T20:53:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-06-21T21:06:00Z,2016-06-23T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-06-21T21:06:00Z,2016-06-23T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-06-21T21:06:00Z,2016-06-23T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-05T21:16:00Z,2016-07-07T11:58:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-05T21:37:00Z,2016-07-07T10:44:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-05T21:37:00Z,2016-07-07T10:44:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-05T21:37:00Z,2016-07-07T10:44:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-05T21:43:00Z,2016-07-07T11:07:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-05T21:43:00Z,2016-07-07T11:07:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-05T21:43:00Z,2016-07-07T11:07:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-19T20:37:00Z,2016-07-21T12:35:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-19T20:37:00Z,2016-07-21T12:35:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-19T20:37:00Z,2016-07-21T12:35:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-19T21:01:00Z,2016-07-21T12:35:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-19T21:01:00Z,2016-07-21T12:35:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-07-19T21:01:00Z,2016-07-21T12:35:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-19T21:01:00Z,2016-07-21T12:35:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-07-19T21:01:00Z,2016-07-21T12:35:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-07-19T21:01:00Z,2016-07-21T12:35:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-08-02T20:26:00Z,2016-08-04T11:30:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-08-02T20:26:00Z,2016-08-04T11:30:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-08-02T20:26:00Z,2016-08-04T11:30:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-08-30T19:33:00Z,2016-09-01T11:45:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-08-30T19:33:00Z,2016-09-01T11:45:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-08-30T19:33:00Z,2016-09-01T11:45:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-08-30T19:52:00Z,2016-09-01T12:32:00Z
HARV,Negative,Flavivirus sp.,FLAV1,2016-09-13T19:15:00Z,2016-09-15T11:38:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-09-13T19:15:00Z,2016-09-15T11:38:00Z
HARV,Negative,Orthobunyavirus sp.,BUNV1,2016-09-13T19:15:00Z,2016-09-15T11:38:00Z
HARV,Negative,Alphavirus sp.,ALPHV,2016-09-13T19:15:00Z,2016-09-15T11:38:00Z
